Fecha,TotalExistencias
2020-05-19,200
2020-05-21,250
2020-05-25,270
2020-05-26,280
2020-05-27,290
2020-05-28,350
2020-05-29,240
2020-05-30,270
2020-05-31,290
2020-06-01,310
2020-06-02,400
2020-06-03,410
2020-06-04,440
2020-06-05,470
2020-06-08,490
2020-06-10,430
2020-06-12,420
2020-06-14,250
2020-06-16,190
2020-06-18,270
2020-06-20,290
2020-06-22,360
2020-06-24,380
2020-06-26,430
2020-06-27,500
2020-06-28,340
2020-06-29,435
2020-06-30,320
2020-07-01,500
2020-07-03,123
2020-07-05,345
2020-07-07,456
2020-07-08,543
2020-07-10,123
2020-07-12,234
